name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3/4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Thierry Darlan,,,SG/SF,"6'7.5""",206lbs,,,22.38yrs,,,"Bangui, Central African Republic",NBA Academy Africa,,,,,,,,,,41,21.0,3.0-7.1,.430,1.1-3.2,.359,1.0-1.4,.712,5.1,1.5,1.0,0.8,1.6,2.1,8.9,41,36.0,5.2-12.2,.430,2.0-5.5,.359,1.8-2.5,.712,8.8,2.5,1.8,1.3,2.8,3.7,15.3,.574,.510,.450,.203,.354,19.1,0.53,0.90,13.2,,,,101.6,115.8,,,
Kwame Evans,Oregon,JR,PF,"6'10""",220lbs,,,21.88yrs,,,"Baltimore, MD",Montverde Academy,ESPN100 #14,,,,,,,,,30,30.9,4.1-9.0,.454,1.0-3.4,.304,4.1-5.1,.799,7.4,2.0,1.3,1.0,1.9,2.2,13.3,30,36.0,4.8-10.5,.454,1.2-4.0,.304,4.8-6.0,.799,8.7,2.3,1.5,1.1,2.2,2.5,15.6,.581,.511,.376,.568,.351,22.3,0.61,1.04,20.5,.086,.052,.138,117.6,108.8,4.2,2.6,6.8
Mouhamed Faye,,,C,"6'10""",220lbs,,,21.37yrs,,,"Dakar, Senegal",,,,,,,,,,,76,16.8,2.1-3.0,.694,0.0-0.0,,0.8-1.5,.530,5.3,0.3,0.9,0.5,0.9,2.4,5.0,76,36.0,4.5-6.5,.694,0.0-0.0,,1.8-3.3,.530,11.5,0.6,2.0,1.0,2.0,5.1,10.7,.668,.694,.000,.511,.294,11.8,0.20,0.29,15.7,,,,123.9,109.4,,,
Jeremy Fears Jr.,Michigan State,SO,PG,"6'1.25""",196lbs,,,21.17yrs,,,"Joliet, IL",Joliet West HS,ESPN100 #27,,,"39.0""",10.62,3.1,3.11,"8'1.5""","6'4""",35,32.4,4.5-10.4,.431,1.0-3.1,.321,5.3-5.9,.885,2.4,9.4,0.0,1.3,2.4,2.3,15.2,35,36.0,5.0-11.5,.431,1.1-3.5,.321,5.8-6.6,.885,2.7,10.4,0.0,1.4,2.7,2.6,16.9,.576,.479,.299,.571,.361,24.3,2.18,3.86,22.9,.169,.060,.229,130.6,106.1,7.3,4.3,11.6
Boogie Fland,Florida,SO,PG,"6'3.25""",172lbs,,,19.95yrs,,,"Bronx, NY",Archbishop Stepinac,ESPN100 #15,,,,,,,"8'2""","6'6""",35,30.0,4.2-9.4,.447,0.9-3.6,.240,2.3-3.2,.726,2.5,3.5,0.1,1.7,1.6,2.1,11.6,35,36.0,5.0-11.3,.447,1.0-4.3,.240,2.8-3.9,.726,2.9,4.1,0.2,2.1,1.9,2.5,13.9,.530,.492,.380,.343,.336,19.0,0.96,2.20,15.2,.076,.076,.152,118.9,102.6,1.9,5.2,7.1
Donnie Freeman,Syracuse,SO,PF,"6'9""",205lbs,,,20.85yrs,,,"Washington, DC",IMG Academy,ESPN100 #6,,,,,,,,,23,31.3,5.5-11.6,.474,1.1-3.7,.302,4.4-5.8,.767,7.2,1.3,0.9,0.8,2.5,2.7,16.5,23,36.0,6.3-13.3,.474,1.3-4.3,.302,5.1-6.7,.767,8.3,1.6,1.1,0.9,2.9,3.1,19.0,.577,.523,.323,.500,.348,27.6,0.32,0.54,19.6,.061,.067,.128,109.0,105.2,2.2,1.5,3.8
Tyon Grant-Foster,Gonzaga,SR,SG/SF,"6'7""",215lbs,,,26.29yrs,,,"Kansas City, KS",Schlagle HS,,,,,,,,"8'8""","6'11.75""",35,21.5,4.0-8.5,.475,0.5-1.9,.262,2.5-4.1,.611,5.0,1.2,1.1,0.8,1.4,1.8,11.1,35,36.0,6.7-14.2,.475,0.8-3.1,.262,4.2-6.9,.611,8.3,2.0,1.8,1.3,2.3,3.1,18.5,.530,.503,.219,.485,.317,26.8,0.33,0.85,20.0,.064,.112,.175,109.9,92.6,2.1,3.9,5.9
Johann Grünloh,Virginia,FR,C,"7'0""",238lbs,,,20.85yrs,,,"Löningen, Germany",,,,,,,,,,,36,21.1,2.7-5.1,.533,0.6-1.7,.350,1.1-1.9,.557,5.2,0.6,2.2,0.4,0.8,2.3,7.1,36,36.0,4.7-8.7,.533,1.0-2.8,.350,1.9-3.3,.557,8.9,1.1,3.8,0.8,1.3,3.9,12.2,.589,.590,.326,.380,.316,16.3,0.33,0.82,20.6,.090,.084,.174,126.0,100.3,2.6,4.4,7.0
Magoon Gwath,San Diego State,SO,C,"7'0""",212lbs,,,20.91yrs,,,"Euless, TX",Trinity HS,,,,,,,,,,25,19.0,3.2-6.2,.519,0.8-1.8,.435,1.6-2.6,.606,4.3,0.3,1.5,0.4,1.5,1.8,8.9,25,36.0,6.1-11.8,.519,1.5-3.5,.435,3.0-5.0,.606,8.2,0.6,2.8,0.8,2.8,3.4,16.8,.592,.583,.295,.423,.335,23.8,0.14,0.22,19.2,.050,.084,.134,108.9,100.2,2.2,3.1,5.3
Juke Harris,Wake Forest,SO,SG,"6'7""",200lbs,,,20.91yrs,,,"Salisbury, NC",Salisbury HS,ESPN100 #80,,,,,,,,,35,35.1,6.7-15.1,.444,2.5-7.5,.332,5.6-7.1,.783,6.5,1.9,0.2,1.3,1.7,2.1,21.4,35,36.0,6.8-15.4,.444,2.5-7.7,.332,5.7-7.3,.783,6.7,2.0,0.2,1.3,1.7,2.1,22.0,.581,.527,.497,.472,.373,28.8,0.40,1.17,22.6,.124,.042,.166,121.4,111.5,6.4,0.7,7.1
Isiah Harwell,Houston,FR,SG,"6'6""",220lbs,,,19.46yrs,,,"Pocatello, ID",Wasatch Academy,ESPN100 #14,,,,,,,,,32,13.8,1.1-4.0,.279,0.7-2.7,.271,0.6-1.0,.613,2.0,0.5,0.3,0.6,0.3,1.2,3.6,32,36.0,2.9-10.5,.279,1.9-6.9,.271,1.5-2.5,.613,5.3,1.4,0.7,1.5,0.8,3.1,9.3,.397,.368,.659,.240,.337,17.8,0.35,1.70,8.9,.009,.090,.099,97.4,97.2,-1.1,4.5,3.4
Thomas Haugh,Florida,JR,PF,"6'9""",215lbs,,,22.95yrs,,,"New Oxford, PA",Perkiomen School,,,,,,,,,,34,33.3,5.4-11.8,.460,1.7-5.2,.326,4.5-5.9,.774,6.1,2.1,1.0,1.1,1.5,2.3,17.1,34,36.0,5.8-12.7,.460,1.8-5.7,.326,4.9-6.3,.774,6.6,2.3,1.0,1.1,1.6,2.5,18.4,.586,.532,.445,.498,.359,22.0,0.48,1.43,20.8,.131,.078,.208,130.9,101.8,6.6,4.4,11.0
Ben Henshall,,,SG,"6'6.75""",193lbs,,,21.99yrs,,,"Lynwood, Australia",Willetton Senior HS,,,,"36.5""",10.49,3.0,3.07,"8'3.5""","6'6.5""",36,21.1,3.3-7.7,.421,1.0-3.6,.275,1.5-1.9,.821,3.6,2.9,0.3,0.8,1.6,1.8,9.0,36,36.0,5.5-13.2,.421,1.7-6.2,.275,2.6-3.2,.821,6.1,5.0,0.5,1.4,2.7,3.0,15.4,.524,.486,.471,.241,.362,20.7,1.03,1.84,14.8,,,,109.2,110.5,,,
Tomislav Ivisic,Illinois,JR,C,"7'1""",255lbs,,,22.75yrs,,,"Vitez, Bosnia and Herzegovina",,,,,,,,,,,34,25.4,3.9-8.0,.483,1.5-4.7,.312,1.2-1.6,.778,5.6,1.6,0.6,0.3,1.4,2.0,10.4,34,36.0,5.5-11.3,.483,2.1-6.7,.312,1.8-2.3,.778,8.0,2.2,0.8,0.4,1.9,2.8,14.8,.597,.576,.590,.199,.364,20.1,0.56,1.15,18.3,.102,.060,.167,124.6,105.9,5.0,3.1,8.1
Zvonimir Ivisic,Illinois,JR,C,"7'2""",250lbs,,,22.75yrs,,,"Vitez, Bosnia and Herzegovina",,,,,,,,,,,37,17.2,2.4-4.6,.509,0.8-2.7,.280,1.0-1.4,.692,4.5,0.3,1.9,0.2,0.5,1.3,6.4,37,36.0,4.9-9.7,.509,1.6-5.7,.280,2.0-2.9,.692,9.4,0.6,4.1,0.5,1.0,2.7,13.5,.608,.591,.585,.304,.343,17.0,0.16,0.56,21.9,.100,.094,.188,130.3,97.5,4.5,5.8,10.3
Elmarko Jackson,Kansas,SO,PG,"6'3""",195lbs,,,22.19yrs,,,"Richland, NJ",South Kent School,ESPN100 #26,,,,,,,,,34,17.8,1.4-3.7,.381,0.5-1.3,.372,1.5-1.9,.825,1.8,1.4,0.2,0.7,1.0,1.7,4.8,34,36.0,2.9-7.5,.381,1.0-2.6,.372,3.1-3.8,.825,3.6,2.9,0.4,1.5,2.0,3.5,9.8,.526,.444,.341,.500,.353,16.0,0.87,1.48,10.2,.020,.073,.093,103.4,103.1,-1.5,4.8,3.3
Ian Jackson,St. John's,SO,SG,"6'5""",195lbs,,,21.35yrs,,,"Bronx, NY",Our Saviour Lutheran School,ESPN100 #7,,,,,,,,,36,18.3,3.2-7.8,.409,1.4-4.0,.343,1.8-1.9,.900,2.3,1.3,0.2,0.8,1.4,1.5,9.4,36,36.0,6.2-15.3,.409,2.7-7.8,.343,3.4-3.8,.900,4.5,2.5,0.4,1.5,2.8,3.0,18.6,.544,.496,.513,.251,.391,26.5,0.51,0.88,15.2,.049,.079,.128,106.5,101.3,1.9,2.7,4.6
Daniel Jacobsen,Purdue,SO,C,"7'4""",250lbs,,,20.15yrs,,,"Chicago, IL",Brewster Academy,,,,,,,,,,39,12.9,2.1-3.3,.646,0.1-0.2,.375,1.2-1.9,.627,3.0,0.3,1.2,0.1,0.6,1.9,5.5,39,36.0,5.9-9.1,.646,0.2-0.6,.375,3.4-5.4,.627,8.4,0.9,3.4,0.2,1.6,5.2,15.3,.658,.657,.063,.591,.311,19.2,0.23,0.59,21.7,.111,.064,.175,129.4,106.0,2.4,4.1,6.5
Nikolas Khamenia,Duke,FR,SF/PF,"6'8""",215lbs,,,19.48yrs,,,"Los Angeles, CA",Harvard-Westlake School,ESPN100 #15,,,,,,,,,38,19.8,2.0-4.4,.444,0.9-2.7,.340,0.9-1.3,.673,3.3,1.0,0.1,0.6,0.8,1.7,5.7,38,36.0,3.6-8.1,.444,1.7-4.9,.340,1.6-2.3,.673,5.9,1.9,0.1,1.1,1.4,3.2,10.4,.567,.547,.609,.290,.343,14.9,0.57,1.30,12.3,.058,.085,.149,119.2,99.2,1.7,4.2,5.9
Karter Knox,Arkansas,SO,SF,"6'6.25""",214lbs,,,21.10yrs,,,"Riverview, FL",Overtime Elite Academy,ESPN100 #26,,,"39.5""",10.92,2.96,3.2,"8'6.5""","6'10.25""",22,22.2,2.9-6.3,.460,1.2-3.1,.377,1.1-1.5,.727,4.5,1.2,0.5,0.7,1.0,2.0,8.1,22,36.0,4.7-10.3,.460,1.9-5.1,.377,1.8-2.4,.727,7.4,1.9,0.9,1.1,1.6,3.3,13.1,.575,.554,.496,.237,.355,17.4,0.46,1.18,15.1,.066,.041,.107,118.3,111.8,2.5,2.0,4.5
Motiejus Krivas,Arizona,JR,C,"7'2""",260lbs,,,21.55yrs,,,"Siauliai, Lithuania",,,,,,,,,,,39,25.4,3.5-6.1,.569,0.1-0.3,.308,3.4-4.3,.780,8.2,1.1,1.9,0.7,1.4,2.6,10.4,39,36.0,5.0-8.7,.569,0.1-0.5,.308,4.8-6.1,.780,11.6,1.6,2.7,1.0,1.9,3.7,14.8,.638,.577,.054,.703,.331,17.9,0.39,0.81,23.2,.121,.105,.226,131.7,93.7,5.0,5.9,10.9
Riley Kugel,UCF,SR,SG,"6'5""",210lbs,,,22.55yrs,,,"Orlando, FL",Dr. Phillips HS,ESPN100 #67,,,,,,,,,31,28.9,5.2-12.5,.415,1.9-4.8,.387,2.1-2.7,.765,3.1,2.5,0.2,1.0,1.7,2.7,14.4,31,36.0,6.5-15.6,.415,2.3-6.0,.387,2.6-3.4,.765,3.9,3.1,0.3,1.3,2.2,3.4,17.9,.519,.490,.387,.219,.368,25.9,0.61,1.44,15.3,.062,.036,.098,110.1,113.5,2.7,1.5,4.2
KJ Lewis,Georgetown,JR,SG,"6'4""",210lbs,,,21.88yrs,,,"El Paso, TX",Duncanville HS,,,,,,,,,,28,30.0,4.9-11.9,.408,1.1-3.8,.305,4.0-5.3,.752,5.1,2.5,0.6,2.1,2.2,2.6,14.9,28,36.0,5.8-14.3,.408,1.4-4.5,.305,4.8-6.4,.752,6.2,3.0,0.7,2.5,2.7,3.1,17.8,.515,.456,.315,.447,.347,28.4,0.63,1.15,19.0,.048,.071,.119,105.5,103.7,2.5,3.5,6.0
Jaland Lowe,Kentucky,JR,PG/SG,"6'3""",173lbs,,,21.79yrs,,,"Missouri City, TX",Fort Bend Marshall HS,ESPN100 #80,,,,,,,,,9,18.4,2.7-7.4,.358,0.6-2.7,.208,2.1-3.0,.704,2.1,2.4,0.2,0.7,0.9,1.3,8.0,9,36.0,5.2-14.5,.358,1.1-5.2,.208,4.1-5.9,.704,4.1,4.8,0.4,1.3,1.7,2.6,15.6,.451,.396,.358,.403,.334,26.0,0.92,2.75,14.1,.048,.048,.096,104.8,110.2,1.7,2.6,4.3
Paul McNeil Jr.,NC State,SO,SG,"6'5""",190lbs,,,20.17yrs,,,"Rockingham, NC",Richmond Senior HS,ESPN100 #48,,,,,,,,,34,28.6,4.1-9.4,.433,3.1-7.2,.427,2.6-3.2,.824,3.6,0.8,0.4,0.6,0.4,1.6,13.8,34,36.0,5.1-11.8,.433,3.9-9.1,.427,3.3-4.0,.824,4.5,1.0,0.5,0.8,0.5,2.1,17.4,.635,.597,.771,.339,.401,20.0,0.26,2.00,18.8,.127,.033,.160,134.6,114.1,7.1,0.5,7.6
Mackenzie Mgbako,Texas A&M,JR,SF,"6'8.75""",216lbs,,,21.59yrs,,,"Gladstone, NJ",Roselle Catholic HS,ESPN100 #9,,,"33.0""",11.99,2.94,3.39,"8'7""","6'10.25""",7,18.9,3.3-8.4,.390,1.7-5.0,.343,2.1-2.4,.882,4.9,1.3,0.1,0.6,1.7,2.0,10.4,7,36.0,6.3-16.1,.390,3.3-9.5,.343,4.1-4.6,.882,9.3,2.5,0.3,1.1,3.3,3.8,19.9,.544,.492,.593,.288,.398,28.5,0.45,0.75,17.2,.061,.061,.121,107.6,107.7,-0.4,-0.6,-1.0
David Mirkovic,Illinois,FR,PF,"6'9""",250lbs,,,20.45yrs,,,"Nikšić, Montenegro",,,,,,,,,,,37,29.5,4.8-9.8,.484,1.5-4.1,.375,2.3-3.0,.757,8.0,2.6,0.4,0.4,1.9,2.0,13.3,37,36.0,5.8-12.0,.484,1.9-5.0,.375,2.8-3.7,.757,9.8,3.1,0.5,0.5,2.3,2.4,16.3,.592,.562,.418,.305,.359,22.6,0.72,1.36,21.2,.121,.066,.191,125.3,104.5,6.4,3.2,9.6
