name,team,year,position,measurements,weight,mock_draft,big_board,age_at_draft,birthdate,nation,hometown,high_school,espn_100,strengths,weaknesses,max_vert,lane_agil,shuttle,3/4sprint,reach,wingspan,games,minutes_per_game,fgm_fga,fg_pct,3pm_3pa,3p_pct,ftm_fta,ft_pct,rebounds_pg,assists_pg,blocks_pg,steals_pg,turnovers_pg,personal_fouls_pg,points_pg,games_per36,minutes_per36,fgm_fga_per36,fg_pct_per36,3pm_3pa_per36,3p_pct_per36,ftm_fta_per36,ft_pct_per36,rebounds_per36,assists_per36,blocks_per36,steals_per36,turnovers_per36,personal_fouls_per36,points_per36,ts_per,efg_per,3pa_rate,fta_rate,nba_3p_per,usg_per,ast_per_usg,ast_per_to,per,ows_per_40,dws_per_40,ws_per_40,ortg,drtg,obpm,dbpm,bpm
Milan Momcilovic,Iowa State,JR,SF/PF,"6'9.25""",218lbs,,,21.74yrs,,,"Pewaukee, WI",Pewaukee HS,ESPN100 #51,,,"32.0""",11.22,2.95,3.47,"8'6.5""","6'9.25""",37,30.5,5.6-11.1,.506,3.7-7.5,.487,1.9-2.2,.878,3.1,1.0,0.2,0.8,0.8,1.6,16.9,37,36.0,6.6-13.1,.506,4.3-8.9,.487,2.3-2.6,.878,3.7,1.2,0.3,1.0,1.0,1.9,19.9,.693,.672,.679,.200,.417,21.2,0.29,1.23,21.2,.142,.078,.220,139.1,101.3,8.5,2.9,11.4
Malachi Moreno,Kentucky,FR,C,"7'0.5""",243lbs,,,19.65yrs,,,"Georgetown, KY",Great Crossing HS,ESPN100 #26,,,"29.0""",11.62,3.11,3.52,"9'3.5""","7'1.5""",36,22.6,2.7-4.6,.582,0.0-0.1,.000,2.4-3.5,.698,6.3,1.8,1.5,0.5,1.3,2.1,7.8,36,36.0,4.2-7.3,.582,0.0-0.1,.000,3.9-5.6,.698,10.1,2.8,2.3,0.8,2.0,3.4,12.4,.623,.582,.018,.764,.317,16.4,0.83,1.39,20.6,.098,.064,.162,126.7,105.2,3.5,4.2,7.7
Braylon Mullins,UConn,FR,SG,"6'6""",196lbs,,,20.17yrs,,,"Greenfield, IN",Greenfield-Central HS,ESPN100 #17,,,,,,,,,33,28.2,4.4-10.5,.421,2.2-6.5,.335,1.0-1.1,.889,3.5,1.4,0.6,1.0,1.2,2.8,12.0,33,36.0,5.6-13.4,.421,2.8-8.3,.335,1.2-1.4,.889,4.5,1.8,0.8,1.3,1.5,3.6,15.3,.544,.524,.620,.104,.391,22.4,0.42,1.18,14.8,.060,.077,.137,112.1,101.6,3.1,3.7,6.8
Patrick Ngongba II,Duke,SO,C,"6'11""",250lbs,,,20.27yrs,,,"Manassas, VA",Paul VI Catholic HS,ESPN100 #26,,,,,,,,,32,21.9,3.6-5.9,.606,0.3-1.0,.258,2.7-4.1,.664,5.8,2.0,1.1,0.6,1.3,2.8,10.1,32,36.0,5.9-9.7,.606,0.4-1.6,.258,4.5-6.7,.664,9.6,3.3,1.7,1.0,2.2,4.6,16.6,.645,.628,.165,.697,.317,21.1,0.79,1.52,24.6,.143,.103,.246,131.9,94.3,5.2,5.7,10.9
Tahaad Pettiford,Auburn,SO,PG,"6'1.5""",169lbs,,,20.88yrs,,,"Jersey City, NJ",Hudson Catholic,ESPN100 #35,,,"42.0""",10.63,2.96,3.23,"8'0""","6'5.5""",38,32.3,5.2-13.2,.393,1.9-6.6,.290,3.1-3.8,.825,3.0,3.8,0.6,1.1,2.2,2.4,15.4,38,36.0,5.8-14.7,.393,2.1-7.4,.290,3.5-4.2,.825,3.3,4.3,0.7,1.2,2.5,2.7,17.2,.514,.466,.503,.285,.371,26.1,0.86,1.71,15.8,.072,.020,.091,111.4,117.5,2.9,0.8,3.7
Derrion Reid,Oklahoma,SO,SF,"6'8""",226lbs,,,19.98yrs,,,"Grovetown, GA",Grovetown HS,ESPN100 #11,,,,,,,,,37,27.5,3.8-7.4,.509,0.9-2.6,.358,3.3-4.3,.761,4.4,1.1,0.2,0.5,1.0,1.4,11.7,37,36.0,4.9-9.7,.509,1.2-3.4,.358,4.3-5.6,.761,5.8,1.5,0.3,0.6,1.3,1.8,15.3,.621,.571,.348,.582,.348,19.0,0.38,1.11,18.0,.114,.024,.138,129.8,116.9,4.3,0.3,4.6
Billy Richmond III,Arkansas,SO,SG/SF,"6'7""",195lbs,,,20.19yrs,,,"Memphis, TN",Camden HS,ESPN100 #41,,,"41.0""",10.23,2.82,3.06,"8'5""","6'8""",37,27.6,4.6-8.2,.563,0.4-1.6,.259,1.6-2.0,.784,4.3,2.0,0.8,1.1,1.2,2.4,11.2,37,36.0,6.0-10.6,.563,0.5-2.0,.259,2.0-2.6,.784,5.6,2.6,1.1,1.4,1.6,3.1,14.6,.612,.588,.192,.245,.335,18.0,0.64,1.64,18.2,.090,.039,.133,124.6,112.2,3.8,2.9,6.7
Michael Ruzic,,,PF,"7'0.25""",221lbs,,,19.71yrs,,,"Zadar, Croatia",,,,,"32.5""",11.4,2.98,3.11,"9'0""","7'0.75""",29,17.8,2.6-4.6,.567,0.4-1.1,.333,0.9-1.4,.595,4.0,0.7,0.7,0.1,0.5,2.0,7.0,29,36.0,5.3-9.3,.567,0.8-2.3,.333,1.7-2.9,.595,8.1,1.4,1.4,0.3,1.0,4.0,14.1,.656,.608,.246,.313,.317,,,1.43,,,,,,,,,
Pryce Sandfort,Nebraska,JR,SF,"6'7""",210lbs,,,21.99yrs,,,"Wuakee, IA",Waukee Northwest HS,ESPN100 #98,,,,,,,,,35,33.6,6.2-12.9,.479,3.7-8.9,.416,2.0-2.4,.855,4.9,2.0,0.3,1.0,0.7,1.7,18.1,35,36.0,6.6-13.9,.479,4.0-9.5,.416,2.2-2.5,.855,5.2,2.1,0.3,1.1,0.7,1.8,19.4,.644,.621,.684,.183,.407,23.3,0.52,2.92,22.2,.129,.082,.211,130.6,101.0,8.1,3.6,11.7
Dame Sarr,Duke,FR,SG/SF,"6'7""",181lbs,,,20.04yrs,,,"Oderzo, Italy",,,,,,,,,,,38,23.5,2.2-5.5,.404,1.1-3.5,.323,0.9-1.6,.532,3.8,1.1,0.4,1.0,1.1,1.8,6.4,38,36.0,3.4-8.4,.404,1.7-5.4,.323,1.3-2.5,.532,5.8,1.7,0.6,1.5,1.6,2.8,9.8,.514,.507,.639,.298,.324,15.7,0.48,1.05,11.1,.031,.098,.125,107.0,96.5,0.8,5.0,5.7
Andrej Stojakovic,Illinois,JR,SG,"6'6.75""",206lbs,,,21.84yrs,,,"Carmichael, CA",Jesuit HS,,,,"41.5""",10.97,2.89,3.32,"8'4""","6'8.25""",34,26.3,4.9-9.9,.500,0.6-2.4,.244,3.0-3.8,.805,4.5,1.0,0.4,0.4,1.3,1.4,13.5,34,36.0,6.8-13.5,.500,0.8-3.3,.244,4.1-5.1,.805,6.2,1.4,0.6,0.5,1.8,1.9,18.5,.578,.530,.244,.381,.342,25.0,0.30,0.77,20.1,.112,.058,.170,122.8,107.6,4.1,2.3,6.4
Luigi Suigo,,,C,"7'4""",289lbs,,,19.39yrs,,,"Tradate, Italy",,,,,,,,,"9'6""","7'5.5""",32,18.1,3.6-6.4,.558,0.6-1.9,.300,0.8-1.2,.632,5.3,0.9,1.0,0.5,1.0,2.8,8.5,32,36.0,7.1-12.8,.558,1.1-3.7,.300,1.5-2.4,.632,10.6,1.7,2.0,0.9,1.9,5.6,16.9,.607,.602,.291,.184,.326,19.0,0.44,0.90,19.7,,,,124.1,109.9,,,
Tyler Tanner,Vanderbilt,SO,PG,"6'0""",167lbs,,,20.38yrs,,,"Brentwood, TN",Brentwood Academy,,,,"39.0""",10.88,2.92,3.23,"7'9""","6'4.25""",36,33.5,6.3-13.1,.485,1.7-4.5,.368,5.2-6.1,.853,3.6,5.1,0.3,2.4,1.9,2.0,19.5,36,36.0,6.8-14.0,.485,1.8-4.9,.368,5.6-6.5,.853,3.9,5.5,0.4,2.6,2.0,2.2,21.0,.612,.549,.347,.464,.370,26.3,1.10,2.71,25.8,.156,.063,.219,129.4,105.8,7.7,4.6,12.3
JT Toppin,Texas Tech,JR,PF,"6'9""",230lbs,,,21.02yrs,,,"Dallas, TX",Faith Family Academy,,,,"34.0""",11.12,3.01,3.27,"8'10""","7'0.5""",25,34.8,9.4-17.1,.548,0.6-2.3,.281,2.5-4.3,.579,10.8,2.1,1.7,1.4,2.5,2.8,21.8,25,36.0,9.7-17.7,.548,0.7-2.4,.281,2.6-4.4,.579,11.2,2.2,1.8,1.4,2.6,2.9,22.6,.571,.567,.133,.251,.311,31.3,0.44,0.85,28.3,.115,.074,.189,117.0,102.7,6.4,3.4,9.8
JoJo Tugler,Houston,JR,PF,"6'8""",230lbs,,,21.10yrs,,,"Monroe, LA",Cypress Falls HS,ESPN100 #89,,,,,,,,,37,23.5,3.5-6.1,.576,0.0-0.0,1.000,1.4-2.0,.707,5.3,1.3,1.5,1.3,1.3,3.0,8.4,37,36.0,5.3-9.3,.576,0.0-0.0,1.000,2.2-3.1,.707,8.1,2.0,2.3,1.9,1.9,4.6,12.9,.601,.578,.004,.335,.319,18.1,0.57,1.04,22.5,.101,.106,.207,124.0,93.5,3.7,6.9,10.5
DJ Wagner,Arkansas,JR,PG,"6'5""",190lbs,,,21.13yrs,,,"Camden, NJ",Camden HS,ESPN100 #4,,,,,,,,,35,23.6,2.6-6.0,.429,1.1-3.1,.346,1.2-1.7,.724,1.6,2.4,0.3,0.9,0.7,1.8,7.4,35,36.0,3.9-9.2,.429,1.6-4.7,.346,1.8-2.5,.724,2.4,3.7,0.4,1.4,1.0,2.7,11.3,.545,.517,.510,.276,.349,15.1,0.99,3.70,12.4,.063,.029,.092,119.9,115.2,1.3,2.4,3.7
Tounde Yessoufou,Baylor,FR,SG/SF,"6'5.5""",220lbs,,,20.10yrs,,,"Cotonou, Benin",St. Joseph HS,ESPN100 #9,,,"38.0""",11.09,2.75,3.17,"8'7""","6'10""",34,32.6,6.6-14.3,.465,1.6-5.3,.293,2.9-3.9,.746,5.9,1.6,0.6,2.0,1.9,2.3,17.8,34,36.0,7.3-15.8,.465,1.7-5.9,.293,3.2-4.4,.746,6.5,1.8,0.7,2.2,2.1,2.6,19.7,.550,.520,.372,.276,.353,26.9,0.35,0.84,21.4,.097,.051,.148,117.1,108.8,4.4,1.7,6.1
